run,imp,exit_code,theta,scale,shape,gamma,e,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,alpha,delta_AIC
403,1,3,0.000455843225190568,na,na,0,0.0328357576374797,1,neu,6308054.83209909,,1000,True,snp_discrete_1class_equal_t,64,-12615981.66419818,-0.03576904149704981,0.0
403,1,3,0.000455843225190568,na,na,-0.289985479080885,0.0438514242990738,1,sel,6308054.83209909,,1000,True,snp_discrete_1class_equal_t,64,-12615981.66419818,-0.03576904149704981,0.0
645,1,3,0.000473881165112144,na,na,0,0.0693685535396796,1,neu,6308055.43370131,,1000,True,snp_continuous_1class_equal_t,65,-12615980.86740262,0.26849245732072824,-0.7967955600470304
645,1,3,0.000473881165112144,28.8001355828169,0.0320205800741555,na,0.0722753790548047,1,sel,6308055.43370131,,1000,True,snp_continuous_1class_equal_t,65,-12615980.86740262,0.26849245732072824,-0.7967955600470304
428,1,3,0.00047241165784774,na,na,0,0.065225908859262,1,neu,6308055.57546139,,1000,True,snp_discrete_2class_equal_t,67,-12615977.15092278,-0.08308432410867063,-4.513275399804115
428,1,3,0.000454663853596158,na,na,-0.12966523499884,0.0675723480652414,1,sel,6308055.57546139,,1000,True,snp_discrete_2class_equal_t,67,-12615977.15092278,-0.08308432410867063,-4.513275399804115
428,1,3,1.7747804251582e-05,na,na,-20.9298834260932,0.123945180452854,2,sel,6308055.57546139,,1000,True,snp_discrete_2class_equal_t,67,-12615977.15092278,-0.08308432410867063,-4.513275399804115
270,1,3,0.000472082800416915,na,na,0,0.0632232816446655,1,neu,6308055.58197956,,1000,True,snp_discrete_3class_equal_t,70,-12615971.16395912,-0.06681464538702833,-10.500239061191678
270,1,3,0.000460172325855472,na,na,-0.183995002720207,0.0685126860417083,1,sel,6308055.58197956,,1000,True,snp_discrete_3class_equal_t,70,-12615971.16395912,-0.06681464538702833,-10.500239061191678
270,1,3,3.27293947196502e-13,na,na,-249.123859766024,0.402127312018196,2,sel,6308055.58197956,,1000,True,snp_discrete_3class_equal_t,70,-12615971.16395912,-0.06681464538702833,-10.500239061191678
270,1,3,1.19104742341488e-05,na,na,-40.3217035409039,0.014088922880507,3,sel,6308055.58197956,,1000,True,snp_discrete_3class_equal_t,70,-12615971.16395912,-0.06681464538702833,-10.500239061191678
846,1,3,0.00047247101682432,na,na,0,0.0652222002142171,1,neu,6308055.57847842,,1000,True,snp_discrete_4class_equal_t,73,-12615965.15695684,0.5472460326556128,-16.507241340354085
846,1,3,1.42165712084749e-05,na,na,-27.0126287999045,0.0506684395298032,1,sel,6308055.57847842,,1000,True,snp_discrete_4class_equal_t,73,-12615965.15695684,0.5472460326556128,-16.507241340354085
846,1,3,0.000244533266931845,na,na,0.00452970592437116,0.112435237967446,2,sel,6308055.57847842,,1000,True,snp_discrete_4class_equal_t,73,-12615965.15695684,0.5472460326556128,-16.507241340354085
846,1,3,3.52594830132359e-14,na,na,-305.471977171001,0.0626330523132028,3,sel,6308055.57847842,,1000,True,snp_discrete_4class_equal_t,73,-12615965.15695684,0.5472460326556128,-16.507241340354085
846,1,3,0.000213721178648741,na,na,-0.354990609984079,0.0206845804097979,4,sel,6308055.57847842,,1000,True,snp_discrete_4class_equal_t,73,-12615965.15695684,0.5472460326556128,-16.507241340354085
