NC_027300.1,ssa01
NC_027301.1,ssa02
NC_027302.1,ssa03
NC_027303.1,ssa04
NC_027304.1,ssa05
NC_027305.1,ssa06
NC_027306.1,ssa07
NC_027307.1,ssa08
NC_027308.1,ssa09
NC_027309.1,ssa10
NC_027310.1,ssa11
NC_027311.1,ssa12
NC_027312.1,ssa13
NC_027313.1,ssa14
NC_027314.1,ssa15
NC_027315.1,ssa16
NC_027316.1,ssa17
NC_027317.1,ssa18
NC_027318.1,ssa19
NC_027319.1,ssa20
NC_027320.1,ssa21
NC_027321.1,ssa22
NC_027322.1,ssa23
NC_027323.1,ssa24
NC_027324.1,ssa25
NC_027325.1,ssa26
NC_027326.1,ssa27
NC_027327.1,ssa28
NC_027328.1,ssa29
